34018,1,150,844
34018,2,100,1266
34018,3,50,1688
34044,1,150,908
34044,2,100,1362
34044,3,50,1816
34045,1,150,1084
34045,2,100,1626
34045,3,50,2168
34062,1,150,910
34062,2,100,1365
34062,3,50,1820
34063,1,150,2042
34063,2,100,3063
34063,3,50,4084
60133,1,150,2019
60133,2,100,3028.5
60133,3,50,4038
60134,1,150,961
60134,2,100,1441.5
60134,3,50,1922
60135,1,150,1078
60135,2,100,1617
60135,3,50,2156
60136,1,150,983
60136,2,100,1474.5
60136,3,50,1966
64778,1,150,1052
64778,2,100,1578
64778,3,50,2104
64779,1,150,810
64779,2,100,1215
64779,3,50,1620
33156,1,150,1654
33156,2,100,2481
33156,3,50,3308
33818,1,150,1666
33818,2,100,2499
33818,3,50,3332
34680,1,150,999
34680,2,100,1498.5
34680,3,50,1998
34681,1,150,972
34681,2,100,1458
34681,3,50,1944
34682,1,150,824
34682,2,100,1236
34682,3,50,1648
34683,1,150,2033
34683,2,100,3049.5
34683,3,50,4066
34684,1,150,1663
34684,2,100,2494.5
34684,3,50,3326
34685,1,150,956
34685,2,100,1434
34685,3,50,1912
34686,1,150,1527
34686,2,100,2290.5
34686,3,50,3054
33627,1,150,1535
33627,2,100,2302.5
33627,3,50,3070
33628,1,150,1509
33628,2,100,2263.5
33628,3,50,3018
33629,1,150,1089
33629,2,100,1633.5
33629,3,50,2178
33964,1,150,1019
33964,2,100,1528.5
33964,3,50,2038
66751,1,150,1747
66751,2,100,2620.5
66751,3,50,3494
66752,1,150,1004
66752,2,100,1506
66752,3,50,2008
66753,1,150,1021
66753,2,100,1531.5
66753,3,50,2042
66754,1,150,1507
66754,2,100,2260.5
66754,3,50,3014
34084,1,150,968
34084,2,100,1452
34084,3,50,1936
34085,1,150,1056
34085,2,100,1584
34085,3,50,2112
63251,1,150,1532
63251,2,100,2298
63251,3,50,3064
61202,1,150,997
61202,2,100,1495.5
61202,3,50,1994
61203,1,150,1014
61203,2,100,1521
61203,3,50,2028
34118,1,150,948
34118,2,100,1422
34118,3,50,1896
34119,1,150,1074
34119,2,100,1611
34119,3,50,2148
34120,1,150,994
34120,2,100,1491
34120,3,50,1988
34121,1,150,1028
34121,2,100,1542
34121,3,50,2056
34122,1,150,1020
34122,2,100,1530
34122,3,50,2040
1,1,150,1086
1,2,100,1629
1,3,50,2172
64792,1,150,952
64792,2,100,1428
64792,3,50,1904
64793,1,150,1032
64793,2,100,1548
64793,3,50,2064
64794,1,150,995
64794,2,100,1492.5
64794,3,50,1990
33376,1,150,1003
33376,2,100,1504.5
33376,3,50,2006
33377,1,150,1007
33377,2,100,1510.5
33377,3,50,2014
34064,1,150,1707
34064,2,100,2560.5
34064,3,50,3414
33365,1,150,905
33365,2,100,1357.5
33365,3,50,1810
33380,1,150,1004
33380,2,100,1506
33380,3,50,2008
33381,1,150,947
33381,2,100,1420.5
33381,3,50,1894
33382,1,150,803
33382,2,100,1204.5
33382,3,50,1606
33383,1,150,859
33383,2,100,1288.5
33383,3,50,1718
33384,1,150,807
33384,2,100,1210.5
33384,3,50,1614
33385,1,150,985
33385,2,100,1477.5
33385,3,50,1970
33386,1,150,963
33386,2,100,1444.5
33386,3,50,1926
33387,1,150,970
33387,2,100,1455
33387,3,50,1940
2,1,150,1730
2,2,100,2595
2,3,50,3460
33258,1,150,978
33258,2,100,1467
33258,3,50,1956
67595,1,150,999
67595,2,100,1498.5
67595,3,50,1998
61204,1,150,854
61204,2,100,1281
61204,3,50,1708
61205,1,150,2022
61205,2,100,3033
61205,3,50,4044
61206,1,150,2014
61206,2,100,3021
61206,3,50,4028
66691,1,150,1075
66691,2,100,1612.5
66691,3,50,2150
67619,1,150,960
67619,2,100,1440
67619,3,50,1920
33220,1,150,805
33220,2,100,1207.5
33220,3,50,1610
32008,1,150,1675
32008,2,100,2512.5
32008,3,50,3350
32166,1,150,907
32166,2,100,1360.5
32166,3,50,1814
32167,1,150,1658
32167,2,100,2487
32167,3,50,3316
64560,1,150,932
64560,2,100,1398
64560,3,50,1864
32135,1,150,1023
32135,2,100,1534.5
32135,3,50,2046
32136,1,150,1520
32136,2,100,2280
32136,3,50,3040
32012,1,150,927
32012,2,100,1390.5
32012,3,50,1854
32013,1,150,909
32013,2,100,1363.5
32013,3,50,1818
32014,1,150,1081
32014,2,100,1621.5
32014,3,50,2162
32015,1,150,1514
32015,2,100,2271
32015,3,50,3028
32016,1,150,1082
32016,2,100,1623
32016,3,50,2164
32001,1,150,949
32001,2,100,1423.5
32001,3,50,1898
32002,1,150,1028
32002,2,100,1542
32002,3,50,2056
32003,1,150,972
32003,2,100,1458
32003,3,50,1944
32161,1,150,833
32161,2,100,1249.5
32161,3,50,1666
32153,1,150,1730
32153,2,100,2595
32153,3,50,3460
32154,1,150,942
32154,2,100,1413
32154,3,50,1884
32155,1,150,1011
32155,2,100,1516.5
32155,3,50,2022
2370,1,150,1664
2370,2,100,2496
2370,3,50,3328
2371,1,150,1504
2371,2,100,2256
2371,3,50,3008
2310,1,150,938
2310,2,100,1407
2310,3,50,1876
11884,1,150,1723
11884,2,100,2584.5
11884,3,50,3446
11885,1,150,942
11885,2,100,1413
11885,3,50,1884
11886,1,150,1015
11886,2,100,1522.5
11886,3,50,2030
2308,1,150,826
2308,2,100,1239
2308,3,50,1652
2309,1,150,1678
2309,2,100,2517
2309,3,50,3356
2234,1,150,988
2234,2,100,1482
2234,3,50,1976
2235,1,150,1504
2235,2,100,2256
2235,3,50,3008
12831,1,150,848
12831,2,100,1272
12831,3,50,1696
12832,1,150,1025
12832,2,100,1537.5
12832,3,50,2050
2710,1,150,806
2710,2,100,1209
2710,3,50,1612
2538,1,150,2031
2538,2,100,3046.5
2538,3,50,4062
2275,1,150,1051
2275,2,100,1576.5
2275,3,50,2102
2276,1,150,1665
2276,2,100,2497.5
2276,3,50,3330
2277,1,150,1028
2277,2,100,1542
2277,3,50,2056
2278,1,150,831
2278,2,100,1246.5
2278,3,50,1662
2279,1,150,1748
2279,2,100,2622
2279,3,50,3496
2280,1,150,1687
2280,2,100,2530.5
2280,3,50,3374
2281,1,150,986
2281,2,100,1479
2281,3,50,1972
2282,1,150,1541
2282,2,100,2311.5
2282,3,50,3082
31567,1,150,1501
31567,2,100,2251.5
31567,3,50,3002
31568,1,150,1663
31568,2,100,2494.5
31568,3,50,3326
31748,1,150,1026
31748,2,100,1539
31748,3,50,2052
31462,1,150,1008
31462,2,100,1512
31462,3,50,2016
31463,1,150,1001
31463,2,100,1501.5
31463,3,50,2002
31464,1,150,997
31464,2,100,1495.5
31464,3,50,1994
31465,1,150,1722
31465,2,100,2583
31465,3,50,3444
31454,1,150,932
31454,2,100,1398
31454,3,50,1864
64539,1,150,1046
64539,2,100,1569
64539,3,50,2092
31499,1,150,831
31499,2,100,1246.5
31499,3,50,1662
31500,1,150,1666
31500,2,100,2499
31500,3,50,3332
31501,1,150,1074
31501,2,100,1611
31501,3,50,2148
18343,1,150,1537
18343,2,100,2305.5
18343,3,50,3074
15791,1,150,838
15791,2,100,1257
15791,3,50,1676
6208,1,150,1528
6208,2,100,2292
6208,3,50,3056
21579,1,150,1035
21579,2,100,1552.5
21579,3,50,2070
13770,1,150,1001
13770,2,100,1501.5
13770,3,50,2002
12033,1,150,2039
12033,2,100,3058.5
12033,3,50,4078
62390,1,150,1001
62390,2,100,1501.5
62390,3,50,2002
12303,1,150,983
12303,2,100,1474.5
12303,3,50,1966
21759,1,150,963
21759,2,100,1444.5
21759,3,50,1926
21760,1,150,2024
21760,2,100,3036
21760,3,50,4048
21761,1,150,953
21761,2,100,1429.5
21761,3,50,1906
21762,1,150,982
21762,2,100,1473
21762,3,50,1964
21763,1,150,982
21763,2,100,1473
21763,3,50,1964
21764,1,150,1711
21764,2,100,2566.5
21764,3,50,3422
10702,1,150,1004
10702,2,100,1506
10702,3,50,2008
10715,1,150,1018
10715,2,100,1527
10715,3,50,2036
10716,1,150,1017
10716,2,100,1525.5
10716,3,50,2034
10717,1,150,1036
10717,2,100,1554
10717,3,50,2072
10718,1,150,975
10718,2,100,1462.5
10718,3,50,1950
10719,1,150,1719
10719,2,100,2578.5
10719,3,50,3438
10720,1,150,1004
10720,2,100,1506
10720,3,50,2008
10721,1,150,1004
10721,2,100,1506
10721,3,50,2008
10722,1,150,2005
10722,2,100,3007.5
10722,3,50,4010
10723,1,150,844
10723,2,100,1266
10723,3,50,1688
10724,1,150,825
10724,2,100,1237.5
10724,3,50,1650
10725,1,150,1037
10725,2,100,1555.5
10725,3,50,2074
10726,1,150,979
10726,2,100,1468.5
10726,3,50,1958
10727,1,150,984
10727,2,100,1476
10727,3,50,1968
10664,1,150,953
10664,2,100,1429.5
10664,3,50,1906
10665,1,150,1020
10665,2,100,1530
10665,3,50,2040
10649,1,150,840
10649,2,100,1260
10649,3,50,1680
10650,1,150,939
10650,2,100,1408.5
10650,3,50,1878
10651,1,150,937
10651,2,100,1405.5
10651,3,50,1874
63883,1,150,1689
63883,2,100,2533.5
63883,3,50,3378
10572,1,150,2012
10572,2,100,3018
10572,3,50,4024
10573,1,150,1691
10573,2,100,2536.5
10573,3,50,3382
5608,1,150,1059
5608,2,100,1588.5
5608,3,50,2118
10670,1,150,992
10670,2,100,1488
10670,3,50,1984
10671,1,150,1045
10671,2,100,1567.5
10671,3,50,2090
63876,1,150,1735
63876,2,100,2602.5
63876,3,50,3470
10674,1,150,2014
10674,2,100,3021
10674,3,50,4028
10675,1,150,983
10675,2,100,1474.5
10675,3,50,1966
5618,1,150,1028
5618,2,100,1542
5618,3,50,2056
5619,1,150,863
5619,2,100,1294.5
5619,3,50,1726
10683,1,150,2001
10683,2,100,3001.5
10683,3,50,4002
9757,1,150,928
9757,2,100,1392
9757,3,50,1856
5626,1,150,837
5626,2,100,1255.5
5626,3,50,1674
5627,1,150,1680
5627,2,100,2520
5627,3,50,3360
5645,1,150,967
5645,2,100,1450.5
5645,3,50,1934
10054,1,150,1039
10054,2,100,1558.5
10054,3,50,2078
10967,1,150,861
10967,2,100,1291.5
10967,3,50,1722
10698,1,150,858
10698,2,100,1287
10698,3,50,1716
10699,1,150,1738
10699,2,100,2607
10699,3,50,3476
10655,1,150,990
10655,2,100,1485
10655,3,50,1980
10656,1,150,1072
10656,2,100,1608
10656,3,50,2144
48061,1,150,1692
48061,2,100,2538
48061,3,50,3384
48062,1,150,843
48062,2,100,1264.5
48062,3,50,1686
48063,1,150,939
48063,2,100,1408.5
48063,3,50,1878
48064,1,150,817
48064,2,100,1225.5
48064,3,50,1634
48065,1,150,997
48065,2,100,1495.5
48065,3,50,1994
66946,1,150,822
66946,2,100,1233
66946,3,50,1644
66947,1,150,1547
66947,2,100,2320.5
66947,3,50,3094
66941,1,150,1009
66941,2,100,1513.5
66941,3,50,2018
66943,1,150,997
66943,2,100,1495.5
66943,3,50,1994
66948,1,150,1547
66948,2,100,2320.5
66948,3,50,3094
64504,1,150,1016
64504,2,100,1524
64504,3,50,2032
62437,1,150,1027
62437,2,100,1540.5
62437,3,50,2054
29780,1,150,1017
29780,2,100,1525.5
29780,3,50,2034
29783,1,150,833
29783,2,100,1249.5
29783,3,50,1666
64511,1,150,1683
64511,2,100,2524.5
64511,3,50,3366
29809,1,150,1681
29809,2,100,2521.5
29809,3,50,3362
67349,1,150,981
67349,2,100,1471.5
67349,3,50,1962
64492,1,150,854
64492,2,100,1281
64492,3,50,1708
29823,1,150,954
29823,2,100,1431
29823,3,50,1908
62447,1,150,2038
62447,2,100,3057
62447,3,50,4076
29587,1,150,972
29587,2,100,1458
29587,3,50,1944
29588,1,150,989
29588,2,100,1483.5
29588,3,50,1978
29589,1,150,1507
29589,2,100,2260.5
29589,3,50,3014
29590,1,150,1054
29590,2,100,1581
